L1,L2
0.05,0.05
0.08,0.05
0.18,0.06
0.34,0.11
0.47,0.14
0.65,0.26
0.76,0.39
0.71,0.66
0.71,0.69
0.78,0.65
0.75,0.72
0.67,0.73
0.72,0.7
0.75,0.7
0.75,0.69
0.81,0.68
0.74,0.7
0.78,0.66
0.71,0.69
0.71,0.62
0.69,0.72
0.75,0.69
0.7,0.67
0.81,0.69
0.79,0.74
0.67,0.74
0.74,0.66
0.71,0.68
0.75,0.69
0.75,0.69
0.76,0.72
0.79,0.69
0.7,0.64
0.69,0.72
0.74,0.65
0.78,0.74
0.71,0.65
0.71,0.73
0.77,0.69
